RecipeID,RecipeTitle,Directions,Source
1498855,"Crab, Grapefruit And Watercress Salad","[""Process first five ingredients in a blender or food processor until smooth. While processing, gradually add oil in a steady stream until dressing thickens. Pour into a serving bowl; stir in poppy seeds."", ""Transfer 1/4 cup salad dressing to a small bowl. Toss with crab. Add remaining ingredients to serving bowl; gently toss until combined. Top with crab mixture.""]",www.tasteofhome.com/recipes/crab-grapefruit-and-watercress-salad/
1632674,Sloppy Joe Grilled Cheese,"[""Read full directions at 5boysbaker.com""]",www.yummly.com/recipe/Sloppy-Joe-Grilled-Cheese-1509365
1636219,Strawberry Tart,"[""Use an 8- or 9-inch tart pan with removeable bottom."", ""Firmly pat gramham cracker pie shell into tart pan."", ""Set aside. Blend milk with instant pudding mix in deep bowl using a whisk or an electric mixer. Continue mixing at low speed for 1 minute or until pudding is dissolved. Add grated orange rind. Let stand for 5 minutes and pour into pie shell. Let stand for 15 minutes or until set. Arrange strawberries or other berries decoratively over pudding shortly before This recipe is suitable for occasional use. Use unsalted margarine in pie shell.""]",www.yummly.com/recipe/Strawberry-Tart-1674888
399226,Broccoli Casserole,"[""Stir margarine, flour, bouillon cubes and milk until thick. Pour over broccoli."", ""Mix stuffing mix according to directions. Sprinkle on top."", ""Add nuts."", ""Bake 30 minutes at 350\u00b0 in 9 x 13-inch pan.""]",www.cookbooks.com/Recipe-Details.aspx?id=232515
841844,Vegetable Salad,"[""Place Veg-All, kidney beans, whole corn, celery, green pepper and onion in bowl."", ""Combine flour, sugar, vinegar and mustard."", ""In a saucepan, cook until the mixture thickens."", ""Set aside to cool. When cool, pour it over vegetables and mix.""]",www.cookbooks.com/Recipe-Details.aspx?id=179534
2007310,Easy Rhubarb Jam Recipe,"[""Cook till rhubarb is soft."", ""Then add in 1 c. cherry pie mix."", ""Heat till boiling, add in 1 small box cherry Jello."", ""Mix well."", ""Put in containers and seal."", ""You can use apricot pie mix and apricot Jello instead.""]",cookeatshare.com/recipes/easy-rhubarb-jam-16644
1073484,Portzelky (New Year'S Cookies),"[""Dissolve sugar in lukewarm water in a small bowl. Sprinkle with yeast and let stand."", ""Combine milk, water, salt, sugar, baking powder, and raisins in a large bowl or in the bowl of a stand mixer."", ""Beat in egg yolks and yeast."", ""Stir in flour to make a heavy (rather stiff) batter."", ""Fold in egg whites."", ""Cover and set in a warm place until well risen (at least double in bulk). This should take about 2 hours. The end result is a fairly sticky dough."", ""Drop by tablespoonfuls into hot oil (375F) and fry until golden brown.""]",www.food.com/recipe/portzelky-new-years-cookies-277254
1044068,Frozen Fruit Medley,"[""Drain canned fruits, reserving 1 cup combined syrup."", ""Cook syrup and sugar over medium heat about 5 minutes, stirring until sugar dissolves."", ""In a large bowl, mix all ingredients including syrup together."", ""Using about 2 cups at a time, place mixture in blender."", ""Cover and puree until smooth but slightly chunky."", ""Pour into another large bowl."", ""Repeat until all fruit is processed."", ""When all is blended, stir together in the large bowl."", ""Line 30 muffin cups with paper liners."", ""Ladle fruit into paper cups."", ""Freeze until solid."", ""When frozen, turn over muffin tins and punch out cups with your thumbs."", ""Place cups in freezer bags and store in freezer."", ""Remove from freezer 20 minutes before serving to use as a salad or dessert, or eat frozen.""]",www.food.com/recipe/frozen-fruit-medley-122099
1589700,Banana Slush,"[""Note: The slush mixture makes approximately 1 gallon. Once you mix it with soda, it will make a total of 2 gallons."", ""Start by preparing 2 half-gallon containers that you will use for freezing. You can mix everything in a huge bowl if you have one or divide it as you go, and mix it individually in your containers."", ""Microwave water until very warm. Pour in blender, add sugar and blend until sugar is dissolved. Add orange juice concentrate and lemon juice to blender and blend on high until totally smooth. Add contents of blender to the huge mixing bowl."", ""Add half the bananas and half of the pineapple juice to the blender. Blend on high until smooth. Add contents of the blender to the mixing bowl."", ""Add remaining bananas and pineapple juice to the blender. Blend until smooth. Add to mixing bowl."", ""Mix juices until totally combined. Pour into freezing containers and close them tightly. Freeze about 24 hours until frozen solid."", ""Remove 1/2 gallon frozen slush mixture 1 hour before you are serving it. After letting it thaw on the counter for 1 hour, use a table knife to cut it in two directions. I normally cut it into about 1/2 inch sections. Add 2 liters of soda to a gallon pitcher. Spoon slush mixture into pitcher. Stir gently to combine. Adding the soda first reduces the amount of foam in your pitcher."", ""Repeat previous step if you are making the whole recipe at once. This can also be made in a 2-gallon punch bowl instead of 2 gallon-sized pitchers.""]",tastykitchen.com/recipes/drinks/banana-slush/
1078006,Just Peachy Iced Tea,"[""In a large teapot or pot, combine water and sugar and bring to a boil."", ""Add teabags and let steep for 4-5 minutes or until desired."", ""Take out tea bags."", ""Pour tea into a heat proof pitcher."", ""Add peach nectar, stir."", ""Let cool."", ""Put a peach wedge into each glass."", ""Enjoy!""]",www.food.com/recipe/just-peachy-iced-tea-104410
745320,Caramel Snappers,"[""To toast pecan halves, spread nuts in a single layer in a shallow baking pan."", ""Toast the nuts in a 350\u00b0 oven about 10 minutes, stirring occasionally.""]",www.cookbooks.com/Recipe-Details.aspx?id=662290
293961,Nutty Butty Pie,"[""Blend softened cream cheese and milk. Add the confectioners sugar, peanut butter and then add Cool Whip (8 ounces at a time). Fill pie crust with mixture and drool chocolate syrup over filling. Top with pecans. Freeze until firm."", ""Remove from freezer prior to serving.""]",www.cookbooks.com/Recipe-Details.aspx?id=202431
1985212,Pine Nut Cookie Cups,"[""Preheat oven to 350F."", ""Spray large baking sheet with vegetable oil spray."", ""Finely grind 1/2 cup toasted pine nuts with sugar and flour in processor."", ""Transfer to bowl."", ""Mix in butter, egg whites and vanilla."", ""Form 3 cookies by spooning 1 tablespoonful batter for each onto prepared baking sheet, spacing 4 inches apart."", ""Using knife, spread each to 4-inch round."", ""Sprinkle each round with 1 teaspoon untoasted pine nuts."", ""Bake cookies until golden around edges, about 10 minutes."", ""Working quickly, run thin metal spatula around edges of cookies to loosen."", ""Drape each cookie over inverted 3/4-cup custard cup, molding and crimping sides of cookie to shape (cookie cups will be shallow)."", ""Transfer cookies to rack."", ""Repeat with remaining batter and untoasted nuts, spraying baking sheet with vegetable oil spray between batches."", ""Cool before using."", ""(Can be prepared 3 days ahead."", ""Store at room temperature in airtight container.)""]",www.epicurious.com/recipes/food/views/pine-nut-cookie-cups-4434
1929529,Barbecued Beef Brisket Recipe,"[""Season the brisket on both sides with the Essence and the salt."", ""Heat a large, heavy skillet or possibly large roasting pan over high heat."", ""Add in the oil and sear the meat till proportionately browned, 2 to 3 min per side."", ""Transfer to a large roasting pan and set aside."", ""Combine the barbecue sauce, veal stock, and salt in a large mixing bowl and mix well."", ""Pour the mix over the brisket and cover tightly with aluminum foil."", ""Bake for 2 1/2 hrs, then turn the meat over and continue cooking for another 2 1/2 hrs."", ""Remove from the oven and let stand for 15 min before carving."", ""Spoon the pan juices over the meat before serving.""]",cookeatshare.com/recipes/barbecued-beef-brisket-78417
1603141,Chocolate Oinks,"[""First we cook the bacon. Preheat the oven to 350 degrees. Lay the bacon on a pan with parchment or a Silpat, and sprinkle with brown sugar. Bake for about 12 minutes, flip, then bake 12 minutes more (make sure it's nice and cooked and brown). Let the bacon cool on a rack or on paper towels. Break up into pieces, and press in between more paper towels to remove all the excess grease."", ""Raise oven to 375 degrees. Beat together the butter, sugars, and vanilla. Once lightened and well combined, mix in the two eggs. Add the flour, baking soda, and salt and combine well. Stir in the bag of chocolate chips and the crumbled bacon."", ""Scoop 1 tablespoon sized balls onto a Silpat-lined or greased cookie sheet. I found the cookies took about 10 minutes to bake, but I would check after 9 to see if they are done. Let cool, or enjoy while they are warm and fuzzy.""]",www.yummly.com/recipe/Chocolate-Oinks-1652748
28277,Extra Flaky Pie Crust,"[""Blend flour, lard and salt; beat the egg and add the vinegar and the water to it and mix.""]",www.cookbooks.com/Recipe-Details.aspx?id=1063099
228937,Bacon Quiche Biscuit Cups,"[""In small bowl, beat cream cheese, milk and eggs on low speed until smooth."", ""Stir in Swiss cheese and onions; set aside.""]",www.cookbooks.com/Recipe-Details.aspx?id=297855
1905565,Pasta with Anchovies and Tomatoes,"[""In a 6-quart kettle bring 5 quarts salted water to a boil for pasta."", ""In a large skillet cook onion and garlic in oil over moderately low heat, stirring, until onion is softened."", ""Add anchovies and cook, stirring, 1 minute."", ""Add tomatoes with reserved juice, vinegar, and red pepper flakes and cook, stirring occasionally, until slightly thickened."", ""Add capers, prosciutto, basil or parsley, and salt and pepper to taste and keep warm."", ""Cook pasta in boiling water until al dente and drain in a colander."", ""In a large bowl toss pasta with sauce and serve with Parmesan.""]",www.epicurious.com/recipes/food/views/pasta-with-anchovies-and-tomatoes-13602
1008292,Mustard Plus Glazed Pork Chops,"[""Combine mustard, marmalade, soy sauce, hot pepper flakes."", ""Stir in the water and set aside."", ""Warm oil in pan over medium heat."", ""Season pork chops with black pepper, and increase heat to medium-high."", ""Brown the chops (about 2 minutes each side)."", ""Spoon mustard/marmalade mixture over the chops and bring to a boil."", ""Cover and simmer until done, about 15 minutes."", ""Stir in the green onions."", ""Place chops on a platter and garnish with orange slices.""]",www.food.com/recipe/mustard-plus-glazed-pork-chops-10338
1238282,Simple Ranch Beans,"[""Saute pepper and onion for 8 to 10 minutes. Add all ingredients to crock pot and cook on low for 4 to 6 hours."", ""Add salt and pepper to taste."", ""My friend Sheri usually adds a chopped jalepeno pepper for spicier beans.""]",www.food.com/recipe/simple-ranch-beans-115955
716739,Chocolate Cookies(No Bake)  ,"[""Mix and cook together for one minute the sugar, butter and milk."", ""Remove from heat and add cocoa, oats and nuts."", ""Add vanilla and stir until it can be dropped from a spoon onto wax paper.""]",www.cookbooks.com/Recipe-Details.aspx?id=487207
2187257,Spinach and Rice Casserole,"[""Set oven to 350 degrees."", ""Grease a 13\"" x 9\"" baking pan."", ""Cook 1-1/2 cups rice according to directions; set aside."", ""In a heavy-bottomed saucepan, melt 1 cup butter; add in flour, stir until thoroughly mixed (about 2 minutes), allow to cool slightly."", ""In the microwave, heat the half and half until just to boiling or to a\""simmer\"" (I do this in the microwave so that the milk doesn't scald bottom of pot, but you could simmer it in the pot, just watch not to burn bottom of pot!"", "")."", ""Pour in the simmering half and half into a saucepan."", ""Add flour mixture into the milk mixture a little at a time, whisking to break up all the lumps."", ""Then whisk in the eggs, until creamy and smooth (about 10-15 minutes)."", ""Place the cooked and drained spinach in bottom of casserole dish."", ""Add rice, Feta cheese and green onions spreading evenly over spinach."", ""Sprinkle with salt and pepper to taste."", ""Pour the cream sauce over the top."", ""Sprinkle with Parmesan cheese and paprika."", ""Bake for 20-25 minutes.""]",www.food.com/recipe/spinach-and-rice-casserole-81382
135633,Barbecue Sauce,"[""Mix all ingredients in a bowl."", ""Cover with Saran Wrap."", ""Cook on High for 10 minutes in microwave, stirring after the first 5 minutes."", ""No mess to clean up!!""]",www.cookbooks.com/Recipe-Details.aspx?id=602817
584007,Cornish Game Hen (With Wild Rice),"[""Wash game hens."", ""Sprinkle with salt (including the inside of cavity as well as entire outside of bird)."", ""Prepare rice according to directions on the box."", ""When rice is done, add raisins and mix together."", ""Stuff each hen with mixture and wrap in foil or place in roasting pan."", ""Bake at 350\u00b0 for 45 minutes."", ""Baste each bird with melted butter."", ""Leave in oven until golden brown and tender, usually 15 to 20 minutes longer.""]",www.cookbooks.com/Recipe-Details.aspx?id=587964
350469,Pull-Apart Rolls,"[""Break first roll into bite size pieces so they don't touch each other."", ""Sprinkle with cinnamon and nuts."", ""Heat milk, butter, brown sugar and pudding mix until well blended."", ""Pour half over bottom layer of dough."", ""Repeat with second roll of dough."", ""Sprinkle cinnamon and nuts on top."", ""Let raise approximately 2 hours."", ""Bake in a 350\u00b0 oven for 30 minutes.""]",www.cookbooks.com/Recipe-Details.aspx?id=920593
173257,Mostaccioli,"[""Heat oven to 350\u00b0."", ""Brown meat; add green pepper and onion. Cook until tender; drain."", ""Stir in tomatoes, paste, water and seasonings."", ""In a 2-quart dish, layer half of the noodles, meat sauce and sliced Velveeta cheese."", ""Repeat layers."", ""Sprinkle with Parmesan cheese."", ""Bake for 30 minutes.""]",www.cookbooks.com/Recipe-Details.aspx?id=1035664
172335,Balsamic Vinegar Marinade,"[""Place meat in mixture; let sit 1 hour."", ""Baste meat with mixture while cooking."", ""After initial marinade, the mixture can be thickened to taste to be used as a sauce to be served with the meat.""]",www.cookbooks.com/Recipe-Details.aspx?id=907950
812653,Catatini,"[""Boil your noodles until tender; drain."", ""Brown meat until done; drain."", ""Mix all ingredients."", ""Put in casserole dish; bake at 350\u00b0 for 25 minutes."", ""Add cheese."", ""Put back in oven until cheese is melted.""]",www.cookbooks.com/Recipe-Details.aspx?id=263903
9330,Meat Loaf,"[""Mix together the beef, bread crumbs, onion, beaten egg, salt, pepper and 1/2 can of tomato sauce; form into small loaves and put in shallow pan.""]",www.cookbooks.com/Recipe-Details.aspx?id=367282
1691409,Black Chocolate Cake Recipe,"[""Mix flour, sugar and cocoa in a large bowl."", ""Add in a healthy pinch of salt and stir again."", ""Add in oil and stir well."", ""Put baking soda in another bowl.Add in boiling water, stir and quickly add in to ingredients in large bowl; stir well."", ""Drop in egg/s and stir again."", ""Add in vanilla and stir."", ""Bake in greased & floured pan at 350 for about 1 hour."", ""Groh's Frosting: Put flour in saucepan."", ""Gradually add in lowfat milk to flour."", ""Heat over low flame, stirring constantly, till mix forms a paste."", ""Cold well."", ""Beat shortening and sugar with electric mixer till well blended."", ""Add in cooled flour/lowfat milk paste."", ""Beat with mixer till light and fluffy, about 5 min."", ""Aadd healthy pinch of salt and vanilla."", ""* I usually make 1 1/2 recipe for the 13x9 size cake""]",cookeatshare.com/recipes/black-chocolate-cake-85733
808413,Pizza Casserole,"[""Mix all ingredients together and place in uncovered casserole dish."", ""Bake at 350\u00b0 for 45 minutes."", ""Can be easily doubled.""]",www.cookbooks.com/Recipe-Details.aspx?id=265155
1530671,Savory Wheat Crescents,"[""In a large bowl, dissolve yeast in warm water. Stir in 2 teaspoons honey; let stand for 5 minutes. Add the whole wheat flour, milk, 2 tablespoons butter, egg, salt, remaining honey and 1 cup all-purpose flour. Beat on medium speed for 3 minutes. Stir in enough remaining all-purpose flour to form a soft dough."", ""Turn onto a floured surface; knead until smooth and elastic, about 6-8 minutes. Place in a greased bowl, turning once to grease top. Cover and let rise in a warm place until doubled, about 1 hour."", ""Punch dough down. Knead on a floured surface for 30 seconds. Roll into a 12-in. circle. Melt remaining butter; brush over dough. Combine Parmesan cheese and garlic salt; sprinkle over dough."", ""Cut into 16 wedges. Roll up wedges from the wide end and place with pointed end down on greased"", "". Curve ends to form a crescent shape. Cover and let rise in a warm place until doubled, about 20 minutes."", ""Bake at 400\u00b0 for 12-15 minutes or until golden brown. Remove from pans to wire racks to cool.""]",www.tasteofhome.com/recipes/savory-wheat-crescents/
2181478,Creamy Date & Honey Spread,"[""Beat cream cheese, honey and cinnamon in medium bowl with mixer until blended."", ""Stir in dates."", ""Refrigerate 1 hour.""]",www.kraftrecipes.com/recipes/creamy-date-honey-spread-146284.aspx
507774,Bean And Corn Casserole,"[""Mix corn and beans."", ""Put in greased casserole dish."", ""Mix cheese, onions, soup and sour cream."", ""Spread over beans and corn. Sprinkle crackers and almonds over mixture. Drizzle butter over crackers."", ""Bake on 350\u00b0 for 1 hour.""]",www.cookbooks.com/Recipe-Details.aspx?id=1065724
1377734,Smoky Butternet Squash And Apple Soup,"[""Preheat oven to 425\u00b0F."", ""Toss diced squash with 1 Tbsp of olive oil and spread out on foil-lined baking sheet. Lightly sprinkle pinch of coarse salt over squash. Cook for 30-40 minutes, until squash is fork tender and lightly caramelized."", ""While squash is cooking, toss diced apple with lemon juice, and set aside."", ""Heat olive oil over medium-low heat and add onion. Saute for 3-4 minutes, until translucent. Add garlic, salt and spices and saute for 2-3 more minutes, being careful not to burn garlic."", ""Add apples, water and stock, bring to a boil, then reduce heat and simmer until apples are fork tender, about 10 minutes."", ""Puree roasted squash in batches with the apple mixture, in a food processor or blender, until smooth, and return to saucepan. Season with additional salt and pepper, to taste. Heat over low, thinning with more water if necessary to get desired consistency, for 5-7 minutes before serving."", ""To serve, ladle into shallow bowls, and top each serving with 1 Tbsp of light sour cream (optional) and a sprig of cilantro (optional). For some extra color and flavor, sprinkle some additional smoky paprika over the soup.""]",food52.com/recipes/14617-smoky-butternet-squash-and-apple-soup
1740666,Grilled Shrimp,"[""Start preparing a day in advance."", ""Crush the garlic cloves with a fork."", ""Mix in the oil and the 1 teaspoon of dried mint then add the raw shrimp and let marinate overnight."", ""In another bowl with a cover, mix all the sauce ingredients (fish sauce, water, Hoisin sauce, chili garlic sauce, maple syrup and lime juice) and keep in the fridge till the next day."", ""When youre ready to eat them the next day, start the grill or heat your pan and cook your shrimp for 2-3 minutes."", ""Enjoy!""]",tastykitchen.com/recipes/appetizers-and-snacks/grilled-shrimp/
1805102,Nana's Bun-On-A-Stick,"[""Cut butter or margerine into dry ingredients."", ""Mix well."", ""Store in a ziploc bag in the fridge or freezer until ready to use."", ""Excellent for camping."", ""Great for breading fish."", ""For Bun-on-a-stick; 1 cup mix and 1/4 c water or milk."", ""Mix until just combined."", ""Peel sticks, wrap small amount of dough around the peeled stick."", ""Roast in campfire."", ""Add butter, jam &/or maple syrup."", ""For pancakes: 1 c mix & 2/3 c water or milk."", ""Stir until moistened."", ""Cook on a well-seasoned cast iron pan or griddle."", ""Makes excellent pancakes."", ""* Take out the sugar is you want them less sweet & more savoury."", ""** More than a delicious substitute for pancakes & biscuits, bun-on-a-stick is a recipe for memories."", ""Eating it takes me back to reunions past when Auntie Amy (your great Nana Liam), Auntie Marlene, & Auntie Cheryl would prepare this for all the kids."", ""Watching it cook on our freshly peeled sticks fed our imaginations & created heartfelt memories that will last a lifetime.""]",www.food.com/recipe/nanas-bun-on-a-stick-509983
1610498,Jalapeno Salsa Dona,"[""Rinse the jalapenos and arrange them on a baking sheet."", ""Turn the oven to broil."", ""Roast the peppers under the broiler until lightly browned turning so all sides are browned."", ""Turn off the heat and let the peppers sit for about 10 minutes."", ""Stem the peppers and remove the seeds. Remove the skin."", ""Place the peppers, garlic, olive oil and rice wine vinegar in a blender or food processor."", ""Blend until smooth and silky. Salt to taste."", ""The jalapenos and olive oil will turn into a silky smooth paste."", ""Depending on the size of your jalapenos and preference, add more salt and vinegar to taste.""]",www.yummly.com/recipe/Jalapeno-Salsa-Dona-1660799
1207361,Praline Brownies,"[""Heat over to 350."", ""Mix brownies as directed on package only use water, 1/2 cup butter and 3 eggs."", ""Spread into greased 13x9 pan."", ""Mix remaining ingredients."", ""Sprinkle over brownie dough."", ""Bake 25-30 minutes or until toothpick inserted 2 inches from side comes out clean."", ""Cool and cut into bars.""]",www.food.com/recipe/praline-brownies-105553
1540965,Freah Lemonade With Raw Honey,"[""Stir honey into water to dissolve. Add lemon juice, ginger, and mint, making sure they have been well pressed to release their juices."", ""Strain the lemonade. Serve over ice, and garnish with fresh mint.""]",tastykitchen.com/recipes/drinks/freah-lemonade-with-raw-honey/
1965665,Triple-Citrus Cupcakes,"[""Preheat oven to 325F."", ""Line standard muffin tins with paper liners."", ""Whisk together flour and salt."", ""With an electric mixer on medium-high speed, cream butter and sugar until pale and fluffy, scraping down sides of bowl every few minutes."", ""Add citrus zests."", ""Reduce speed to medium, and add vanilla."", ""Add eggs, three at a time, beating until incorporated, scraping down sides of bowl as needed."", ""Reduce speed to low."", ""Add flour mixture in four batches, beating until completely incorporated after each."", ""Divide batter evenly among lined cups, filling each three-quarters full; tap pans on countertop once to distribute batter."", ""Bake, rotating tins halfway through, until a cake tester inserted in centers comes out clean, about 20 minutes."", ""Transfer tins to wire racks to cool 10 minutes; turn out cupcakes onto racks and let cool completely."", ""Cupcakes can be stored up to 2 days at room temperature, or frozen up to 2 months, in airtight containers."", ""To finish, dip tops of cupcakes in glaze, then turn over quickly and garnish with zest."", ""Cupcakes are best eaten the day they are glazed; keep at room temperature until ready to serve.""]",www.epicurious.com/recipes/food/views/triple-citrus-cupcakes-389992
1563945,Blackberry And Mint Chocolate Muffins,"[""Preheat oven to 400\u00b0F."", ""Whisk together all of the dry ingredients (cocoa powder through salt) in a medium-sized mixing bowl. In a separate, smaller bowl, combine eggs, milk, vanilla and vinegar. Add wet ingredients into dry, adding the melted butter as well. Whisk just to combine, not worrying about any small lumps that may exist in the batter. Fold in blackberries and chopped mint."", ""Spoon the batter into two 12-count baking cup lined muffin tins and bake in at 400\u00b0F for 20 minutes."", ""(Recipe adapted from Dorie Greenspan.)""]",tastykitchen.com/recipes/breads/blackberry-and-mint-chocolate-muffins/
368754,Texas Pralines,"[""Use a large pot, the candy needs lots of room to bubble."", ""Pour the buttermilk, sugar and baking soda into the pot."", ""Stir the mixture until the sugar is completely dissolved, then place the pot on low to medium heat and let it boil to a soft ball stage, stirring constantly."", ""(Soft ball means dipping a spoon into the candy and letting a small amount drip into cool water."", ""If you can form the syrup into a soft ball with your fingers, it is ready.) The mixture will turn a brownish color, but don't worry, it is supposed to."", ""Once the soft ball stage is reached, remove from heat, then add 2 cups of pecan halves, then the vanilla and butter. Beat the mixture briskly until it becomes glossy and starts to get very thick."", ""Quickly spoon onto greased wax paper, making little patties."", ""Pecan halves may be turned right side up."", ""Let the candy completely cool before removing it from the paper.""]",www.cookbooks.com/Recipe-Details.aspx?id=708652
1101014,French Meringue Strips,"[""In a large bowl, mix together the flour, sugar and salt."", ""Cut in the butter (at room temperature) until particles are the size of small peas. Mix in the egg yolks slightly mixed with enough water to measure 1/3 cup."", ""Sprinkle this over the flour mixture, tossing lightly with a fork until the dough is moist enough to hold together."", ""Form into a ball and chill while making the meringues."", ""Meringue: Beat the egg whites with the cream of tartar for one minute."", ""Gradually add the powdered sugar, beating constantly."", ""Mix in the vanilla."", ""Cover with plastic wrap while rolling out the dough."", ""Roll out the chilled dough on a floured board, pastry cloth or waxed paper."", ""Shape to approximately a 20 x 15 inch rectangle."", ""Spread on the merigue."", ""Combine the sugar, cinnamon and almonds."", ""Sprinkle over the meringue."", ""Press in lightly with a spatula."", ""Cut dough with spatula or sharp knife into 3 x 1 inch strips."", ""Place on ungreased bake sheet."", ""Bake in a 350 degree oven 8-10 minutes, or until they start to delicately brown.""]",www.food.com/recipe/french-meringue-strips-234299
1123353,Puerto Rican Chicken Soup,"[""in large stock pot heat oil"", ""add onion, carrots and green pepper, saute"", ""add rice, chili and pepper, saute"", ""add garlic, saute"", ""add water, garlic powder, tomato sauce, chicken, bay leaf and vinegar."", ""cook for 1 hour covered until chicken is done."", ""take chicken out and debone add chunks of chicken back inches."", ""remove bay leaves.""]",www.food.com/recipe/puerto-rican-chicken-soup-486878
1032842,Sweet Potato Salad,"[""In a large bowl, combine the first 4 ingredients."", ""Stir in the mayonnaise (& hot pepper sauce, if using), mixing well."", ""Cover & refrigerate at least 1 hour before serving.""]",www.food.com/recipe/sweet-potato-salad-452286
331561,Sugar Cookie I,"[""Cream sugars, eggs and butter."", ""Add vanilla and dry ingredients; mix thoroughly."", ""Drop teaspoonfuls on cookie sheet. Flatten with spatula dipped in water."", ""Sprinkle with white sugar and cinnamon."", ""Bake at 350\u00b0.""]",www.cookbooks.com/Recipe-Details.aspx?id=162001
